uuid,longitude,latitude,start_date,end_date,type,subtype,comments,nthumbsup,reliability,reportrating,confidence,duration,xcenter,ycenter,start_time,end_time,event
74c0a2e4-4dc0-3dc6-98c0-9d111e39659b,-43.31071300000001,-22.842225999999997,2019-02-24 22:30:00,2019-02-24 22:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Carnavalesco Fala Bobagem.(201818),0.0,6.0,0,0.0,0 days 00:28:00,673338.9282793938,7472953.43684079,1551047400000.0,1551049080000.0,27
75093006-569b-343f-96ba-fef3b24cd945,-43.186689000000094,-22.895730000000057,2019-02-24 21:19:00,2019-02-24 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco *** da Mauá,0.0,6.0,0,0.0,0 days 02:37:00,685995.1088029174,7466877.487045282,1551043140000.0,1551052560000.0,38
755f0a24-338f-316e-8a05-3e7dabb924e7,-43.230249999999934,-22.922508999999994,2019-02-23 22:55:00,2019-02-24 00:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Banda do Tijuca,0.0,6.0,0,0.0,0 days 02:03:00,681490.2890655203,7463966.486196358,1550962500000.0,1550969880000.0,29
7589fd70-1f3a-3197-b1a1-13d2487d3410,-43.36638000000005,-22.87833700000006,2019-02-24 14:56:00,2019-02-24 16:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Acorda e Vem Brincar,0.0,6.0,0,0.0,0 days 02:00:00,667581.4885891816,7469019.217466475,1551020160000.0,1551027360000.0,50
75fd3947-0820-30cf-b3de-16c94c3e3686,-43.2179460000001,-22.986359000000114,2019-02-24 16:55:00,2019-02-24 20:57:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,BLOCO DA CHALEIRA DO VIDIGAL.(199825),0.0,6.0,0,0.0,0 days 04:02:00,682666.5717886139,7456880.713460805,1551027300000.0,1551041820000.0,33
7623c27d-2a6b-3f94-8ce2-cd87c8594021,-43.172853,-22.907098,2019-02-24 17:27:00,2019-02-24 17:27:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco da Preta,0.0,6.0,0,0.0,0 days 00:00:00,687399.0051875113,7465601.067943884,1551029220000.0,1551029220000.0,30
76496f5f-bcb5-39c6-862b-d42294895d2a,-43.226783000000026,-22.920084999999983,2019-02-23 18:55:00,2019-02-23 19:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco do Ipe,0.0,6.0,0,0.0,0 days 01:01:00,681849.1506844483,7464230.625896287,1550948100000.0,1550951760000.0,29
7659cc7f-5dfd-35d9-974c-6ca9a7dc5dda,-43.169765000000105,-22.953824999999863,2019-02-24 18:56:00,2019-02-24 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,"Bloco Tá Pirando, Pirado, Pirou!",0.0,6.0,0,0.0,0 days 05:00:00,687651.3755170208,7460422.660000312,1551034560000.0,1551052560000.0,53
771e21ba-6a4c-3404-8eb4-e16508ab00fe,-43.30293100000014,-22.836658000000114,2019-02-24 16:55:00,2019-02-24 22:59:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,G.R.B.C. Deixa Que Eu Te Atravesso,0.0,6.0,0,0.0,0 days 06:04:00,674144.6991760704,7473560.825651355,1551027300000.0,1551049140000.0,40
77e6f4a5-446d-30f0-be42-01628d9c0d48,-43.176459,-22.9013,2019-02-24 17:27:00,2019-02-24 17:27:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco da Preta,0.0,6.0,0,0.0,0 days 00:00:00,687037.0283613518,7466247.714234533,1551029220000.0,1551029220000.0,30
