uuid,longitude,latitude,type,subtype,comments,start_date,end_date,alerts,duration,type_subtype,xcenter,ycenter,start_time,end_time,event
90899754-efe8-33a4-8190-88dc72f78672,-43.199429,-22.912413,road_closed,road_closed_event,carnaval rio,2019-03-02 12:18:00,2019-03-02 12:21:00,4,-1 days +23:57:00.000000000,road_closed_road_closed_event,684665.4345116635,7465046.108610833,1551529080000.0,1551529260000.0,22
90932c04-9168-3366-9684-696b586c255c,-43.179929,-22.903232,road_closed,road_closed_event,corrida rio antigo   lapa,2019-03-24 07:56:00,2019-03-24 15:57:00,482,-1 days +15:59:00.000000000,road_closed_road_closed_event,686678.3874088554,7466038.175662676,1553414160000.0,1553443020000.0,7
909472ae-7cef-3eee-a2cb-eabaf92d15d0,-43.193686,-22.908944,road_closed,road_closed_event,desfile campeas,2019-03-09 21:56:00,2019-03-10 14:56:00,1021,-1 days +07:00:00.000000000,road_closed_road_closed_event,685259.2859294193,7465423.033637257,1552168560000.0,1552229760000.0,10
9094d586-7f9c-337d-9422-0e7e595f8d1f,-43.183235,-22.970825,road_closed,road_closed_event,reveillon,2019-01-01 00:31:00,2019-01-01 01:30:00,60,-1 days +23:01:00.000000000,road_closed_road_closed_event,686246.6945187005,7458557.262472944,1546302660000.0,1546306200000.0,8
90b5f711-f166-3fb9-a076-e9a005ffc327,-43.17822,-22.95031,weatherhazard,no_subtype,atencao mao inglesa mantenhase a esquerda,2019-03-07 14:38:00,2019-03-08 15:10:00,1450,-2 days +23:28:00.000000000,weatherhazard_no_subtype,686789.1192735145,7460822.685579913,1551969480000.0,1552057800000.0,16
90cc729a-6102-376f-896b-38d7ab740484,-43.311721,-22.842173000000006,road_closed,road_closed_event,bloco carnavalesco fala bobagem,2019-02-24 20:29:00,2019-02-24 21:29:00,61,-1 days +23:00:00.000000000,road_closed_road_closed_event,673235.5427737844,7472960.489651637,1551040140000.0,1551043740000.0,11
90ce6bf6-b1b9-3229-a71c-235f76e08f2b,-43.189514,-22.983674,road_closed,road_closed_event,reveillon,2019-01-01 08:34:00,2019-01-01 09:33:00,60,-1 days +23:01:00.000000000,road_closed_road_closed_event,685585.2917069881,7457142.345041969,1546331640000.0,1546335180000.0,8
90da3e86-b68b-3007-bfd4-ebfda14d9d44,-43.17423,-22.91467,road_closed,road_closed_event,bloco sargento pimenta,2019-03-04 14:49:00,2019-03-04 15:59:00,70,-1 days +22:50:00.000000000,road_closed_road_closed_event,687247.3358754166,7464764.313860755,1551710940000.0,1551715140000.0,130
90ef2e58-6a8f-3b97-8e80-2b3722408994,-43.204326,-22.91143,road_closed,road_closed_event,carnaval rio,2019-03-01 22:58:00,2019-03-02 11:58:00,781,-1 days +11:00:00.000000000,road_closed_road_closed_event,684164.4143119763,7465161.10256991,1551481080000.0,1551527880000.0,22
90f07d45-4ff4-346b-bce9-a71be5a291fa,-43.203384,-22.909284,road_closed,road_closed_event,desfile campeas,2019-03-09 16:55:00,2019-03-10 14:56:00,1322,-1 days +01:59:00.000000000,road_closed_road_closed_event,684263.9499243745,7465397.563701557,1552150500000.0,1552229760000.0,10
90f1e8ef-443a-3e10-b842-15b6ab95fb28,-43.187393,-22.902963,road_closed,road_closed_event,alteracao sentido,2019-01-08 16:50:00,2019-01-18 13:16:00,14147,-10 days +03:34:00.000000000,road_closed_road_closed_event,685913.0179636095,7466077.414316174,1546966200000.0,1547817360000.0,38
90f460f3-e5e6-3822-b2fd-a5ee5ca3c589,-43.225868,-22.973956,road_closed,road_closed_event,grbc fofoqueiros plantao,2019-03-10 15:43:00,2019-03-10 18:59:00,197,-1 days +20:44:00.000000000,road_closed_road_closed_event,681870.9669877145,7458264.025777419,1552232580000.0,1552244340000.0,93
9108456e-2f66-33d7-af26-e4471e0228a1,-43.196788,-22.953964000000006,road_closed,road_closed_event,bloco,2019-03-04 18:55:00,2019-03-04 21:43:00,169,-1 days +21:12:00.000000000,road_closed_road_closed_event,684879.911226593,7460441.547909211,1551725700000.0,1551735780000.0,138
910f39a7-c9ae-30f1-9aa2-96f636fdfa60,-43.285755,-22.902815,road_closed,road_closed_event,banda constanca barbosa galo meier,2019-03-04 20:55:00,2019-03-04 21:42:00,48,-1 days +23:13:00.000000000,road_closed_road_closed_event,675822.3747151073,7466214.707233077,1551732900000.0,1551735720000.0,35
